,adaptor_angle,base_diameter,base_type,blind_hole,bolt_pattern_long,bolt_pattern_wide,component_group_id,component_id,component_type_id,connection_type_id,connection_type_id_1,connection_type_id_2,connection_type_id_3,connection_type_id_4,corresponding_shell,coupling_class,diameter,drop_length,elbow_angle,end_form_id_1,end_form_id_2,end_form_id_3,end_form_id_4,extension_length,groove,head_diameter,height_over_tube,hex_nut_size,hex_size,hose_diameter,intended_nut_pitch,intended_nut_thread,length,length_1,length_2,length_3,length_4,material,mj_class_code,mj_plug_class_code,nominal_size_1,nominal_size_2,nominal_size_3,nominal_size_4,orientation,outside_shape,overall_length,part_name,plating,plug_diameter,seat_angle,shoulder_diameter,thickness,thread_pitch,thread_pitch_1,thread_pitch_2,thread_pitch_3,thread_pitch_4,thread_size,thread_size_1,thread_size_2,thread_size_3,thread_size_4,type,unique_feature,weight
367,,,Saddle,,,,boss,C-0177,CP-018,B-005,,,,,,,,,,,,,,,No,,24.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.122
368,,33.33,Shoulder,,,,boss,C-0199,CP-018,B-004,,,,,,,,,,,,,,,No,,23.6,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,23.9,,,,,,,,,,,,Boss,Yes,0.1
369,,,Saddle,,,,boss,C-0208,CP-018,B-002,,,,,,,,,,,,,,,No,,15.75,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.023
370,,,Saddle,,,,boss,C-0209,CP-018,B-002,,,,,,,,,,,,,,,No,,15.75,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.022
371,,,Saddle,,,,boss,C-0213,CP-018,B-002,,,,,,,,,,,,,,,No,,22.35,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.159
372,,,Saddle,,,,boss,C-0214,CP-018,B-002,,,,,,,,,,,,,,,No,,19.05,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.059
373,,,Saddle,,,,boss,C-0215,CP-018,B-002,,,,,,,,,,,,,,,No,,17.53,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.033
374,,32.0,Flat Bottom,,,,boss,C-0242,CP-018,B-005,,,,,,,,,,,,,,,No,,20.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.08
375,,,,,88.9,50.8,boss,C-0243,CP-019,B-012,,,,,,,,,,,,,,,No,,36.0,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,4.034
376,,26.9,Shoulder,,,,boss,C-0245,CP-018,B-004,,,,,,,,,,,,,,,No,,20.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,20.6,,,,,,,,,,,,Boss,Yes,0.1
377,,,Saddle,,,,boss,C-0255,CP-018,B-005,,,,,,,,,,,,,,,No,,25.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.127
378,,,,,77.77,42.88,boss,C-0257,CP-019,B-012,,,,,,,,,,,,,,,No,,27.2,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,1.63
379,,,Saddle,,,,boss,C-0258,CP-018,B-005,,,,,,,,,,,,,,,No,,20.9,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.192
380,,,Saddle,,,,boss,C-0260,CP-018,B-005,,,,,,,,,,,,,,,No,,25.4,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.186
381,,,Saddle,,,,boss,C-0262,CP-018,B-009,,,,,,,,,,,,,,,No,,20.6,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.158
382,,,,,120.7,69.9,boss,C-0269,CP-019,B-012,,,,,,,,,,,,,,,No,,10.55,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,3.361
383,,40.0,Saddle,,,,boss,C-0274,CP-018,B-005,,,,,,,,,,,,,,,No,,39.33,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.378
384,,,Saddle,,,,boss,C-0278,CP-018,B-002,,,,,,,,,,,,,,,No,,14.22,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.015
385,,,,,57.15,27.76,boss,C-0307,CP-019,B-013,,,,,,,,,,,,,,,No,,9999.0,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,1.05
386,,,Saddle,,,,boss,C-0348,CP-018,B-005,,,,,,,,,,,,,,,No,,19.1,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.045
387,,35.0,Shoulder,,,,boss,C-0356,CP-018,B-005,,,,,,,,,,,,,,,No,,8.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,30.0,,,,,,,,,,,,Boss,Yes,0.12
388,,,Saddle,,,,boss,C-0358,CP-018,B-009,,,,,,,,,,,,,,,No,,38.4,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.154
389,,,,,58.72,30.18,boss,C-0387,CP-019,B-012,,,,,,,,,,,,,,,No,,24.0,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,0.939
390,,22.0,Shoulder,,,,boss,C-0393,CP-018,B-005,,,,,,,,,,,,,,,No,,24.0,,,,,,,,,,,,,,,,,,Yes,Hex,,,,,,12.24,,,,,,,,,,,,Boss,Yes,0.06
391,,30.0,Shoulder,,,,boss,C-0405,CP-018,B-005,,,,,,,,,,,,,,,No,,10.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,20.0,,,,,,,,,,,,Boss,Yes,0.05
392,,,Saddle,,,,boss,C-0411,CP-018,B-002,,,,,,,,,,,,,,,No,,17.53,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.034
393,,15.88,Shoulder,,,,boss,C-0425,CP-018,B-004,,,,,,,,,,,,,,,No,,8.73,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,12.29,,,,,,,,,,,,Boss,No,0.005
394,,22.0,Shoulder,,,,boss,C-0426,CP-018,B-004,,,,,,,,,,,,,,,No,,6.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,18.2,,,,,,,,,,,,Boss,No,0.023
395,,38.1,Saddle,,,,boss,C-0432,CP-018,B-004,,,,,,,,,,,,,,,No,,22.23,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.063
396,,,Saddle,,,,boss,C-0474,CP-018,B-005,,,,,,,,,,,,,,,No,,15.75,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.054
397,,,Saddle,,,,boss,C-0475,CP-018,B-005,,,,,,,,,,,,,,,No,,15.8,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.05
398,,,Saddle,,,,boss,C-0483,CP-018,B-004,,,,,,,,,,,,,,,No,,12.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.08
399,,38.1,Shoulder,,,,boss,C-0486,CP-018,B-004,,,,,,,,,,,,,,,No,,25.4,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,26.9,,,,,,,,,,,,Boss,Yes,0.114
400,,,Saddle,,,,boss,C-0493,CP-018,B-004,,,,,,,,,,,,,,,No,,16.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.015
401,,,Saddle,,,,boss,C-0495,CP-018,B-005,,,,,,,,,,,,,,,No,,25.4,,,,,,,,,,,,,,,,,,Yes,Hex,,,,,,,,,,,,,,,,,,Boss,No,0.083
402,,,Saddle,,,,boss,C-0497,CP-018,B-005,,,,,,,,,,,,,,,No,,16.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.052
403,,,Saddle,,,,boss,C-0499,CP-018,B-005,,,,,,,,,,,,,,,No,,29.3,,,,,,,,,,,,,,,,,,Yes,Hex,,,,,,,,,,,,,,,,,,Boss,No,0.082
404,,,Saddle,,,,boss,C-0502,CP-018,B-002,,,,,,,,,,,,,,,No,,31.9,,,,,,,,,,,,,,,,,,Yes,Hex,,,,,,,,,,,,,,,,,,Stud,No,0.269
405,,,Saddle,,,,boss,C-0506,CP-018,B-005,,,,,,,,,,,,,,,No,,24.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.093
406,,,,,77.77,57.94,boss,C-0513,CP-019,9999,,,,,,,,,,,,,,,No,,35.0,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,2.14
407,,25.0,Shoulder,,,,boss,C-0520,CP-018,B-005,,,,,,,,,,,,,,,No,,9.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,18.0,,,,,,,,,,,,Boss,Yes,0.021
408,,,Saddle,,,,boss,C-0533,CP-018,B-010,,,,,,,,,,,,,,,No,,16.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.026
409,,,Saddle,,,,boss,C-0534,CP-018,B-005,,,,,,,,,,,,,,,No,,21.6,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.217
410,,,Saddle,,,,boss,C-0539,CP-018,B-005,,,,,,,,,,,,,,,No,,14.17,,,,,,,,,,,,,,,,,,Yes,Hex,,,,,,,,,,,,,,,,,,Boss,Yes,0.003
411,,33.38,Saddle,,,,boss,C-0544,CP-018,B-002,,,,,,,,,,,,,,,No,,22.35,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.129
412,,,Saddle,,,,boss,C-0547,CP-018,B-002,,,,,,,,,,,,,,,No,,14.3,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.012
413,,,Saddle,,,,boss,C-0548,CP-018,B-002,,,,,,,,,,,,,,,No,,17.53,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.059
414,,,Saddle,,,,boss,C-0549,CP-018,B-002,,,,,,,,,,,,,,,No,,17.53,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.059
415,,,,,77.8,42.9,boss,C-0555,CP-019,B-012,,,,,,,,,,,,,,,No,,27.6,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,1.612
416,,18.24,Saddle,,,,boss,C-0556,CP-018,B-002,,,,,,,,,,,,,,,No,,17.53,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.059
417,,25.0,Shoulder,,,,boss,C-0569,CP-018,B-005,,,,,,,,,,,,,,,No,,15.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,22.5,,,,,,,,,,,,Boss,No,0.037
418,,,Saddle,,,,boss,C-0575,CP-018,9999,,,,,,,,,,,,,,,No,,21.4,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.075
419,,,Saddle,,,,boss,C-0623,CP-018,B-002,,,,,,,,,,,,,,,No,,15.8,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.021
420,,20.0,Saddle,,,,boss,C-0624,CP-018,B-002,,,,,,,,,,,,,,,No,,19.3,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.06
421,,,,,106.38,61.93,boss,C-0641,CP-019,B-012,,,,,,,,,,,,,,,No,,16.9,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,0.304
422,,,,,120.65,69.85,boss,C-0643,CP-019,B-012,,,,,,,,,,,,,,,No,,20.07,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,3.361
423,,,Saddle,,,,boss,C-0678,CP-018,B-005,,,,,,,,,,,,,,,No,,20.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.112
424,,,Saddle,,,,boss,C-0697,CP-018,B-002,,,,,,,,,,,,,,,No,,14.2,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.014
425,,22.0,Shoulder,,,,boss,C-0699,CP-018,B-011,,,,,,,,,,,,,,,No,,17.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,18.0,,,,,,,,,,,,Boss,No,0.044
426,,,Saddle,,,,boss,C-0700,CP-018,B-002,,,,,,,,,,,,,,,No,,36.6,,,,,,,,,,,,,,,,,,Yes,Hex,,,,,,,,,,,,,,,,,,Stud,No,0.265
427,,,Saddle,,,,boss,C-0701,CP-018,B-002,,,,,,,,,,,,,,,No,,37.6,,,,,,,,,,,,,,,,,,Yes,Hex,,,,,,,,,,,,,,,,,,Stud,No,0.194
428,,,Saddle,,,,boss,C-0723,CP-018,B-004,,,,,,,,,,,,,,,No,,16.6,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.076
429,,32.0,Saddle,,,,boss,C-0755,CP-018,B-005,,,,,,,,,,,,,,,No,,18.8,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,2.62
430,,,,,94.0,,boss,C-0770,CP-020,9999,,,,,,,,,,,,,,,No,,21.5,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,0.987
431,,,,,76.2,,boss,C-0780,CP-020,9999,,,,,,,,,,,,,,,No,,21.5,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,0.577
432,,,Saddle,,,,boss,C-0791,CP-018,B-002,,,,,,,,,,,,,,,No,,15.75,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Stud,No,0.034
433,,,,,88.9,50.8,boss,C-0793,CP-019,B-012,,,,,,,,,,,,,,,No,,54.7,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,3.815
434,,,,,94.0,,boss,C-0796,CP-020,9999,,,,,,,,,,,,,,,No,,21.2,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,0.987
435,,,,,106.4,61.9,boss,C-0804,CP-019,B-012,,,,,,,,,,,,,,,No,,12.5,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,2.805
436,,,Saddle,,,,boss,C-0816,CP-018,B-005,,,,,,,,,,,,,,,No,,18.54,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.071
437,,31.75,Saddle,,,,boss,C-0817,CP-018,B-005,,,,,,,,,,,,,,,No,,18.54,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.069
438,,25.0,Flat Bottom,,,,boss,C-0837,CP-018,B-004,,,,,,,,,,,,,,,No,,20.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.059
439,,25.4,Shoulder,,,,boss,C-0854,CP-018,B-004,,,,,,,,,,,,,,,No,,11.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,19.0,,,,,,,,,,,,Boss,No,0.041
440,,,,,77.8,42.9,boss,C-0869,CP-019,B-012,,,,,,,,,,,,,,,No,,11.95,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,1.112
441,,,Saddle,,,,boss,C-0893,CP-018,B-005,,,,,,,,,,,,,,,No,,25.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.31
442,,,,,76.2,,boss,C-0899,CP-020,9999,,,,,,,,,,,,,,,No,,8.3,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,0.426
443,,28.8,Flat Bottom,,,,boss,C-0920,CP-018,B-009,,,,,,,,,,,,,,,No,,17.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.077
444,,,Saddle,,,,boss,C-0930,CP-018,9999,,,,,,,,,,,,,,,No,,24.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.122
445,,50.0,Saddle,,,,boss,C-0965,CP-018,B-005,,,,,,,,,,,,,,,No,,39.6,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.5
446,,,Saddle,,,,boss,C-1029,CP-018,B-005,,,,,,,,,,,,,,,No,,45.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.411
447,,,Saddle,,,,boss,C-1045,CP-018,B-002,,,,,,,,,,,,,,,No,,25.66,,,,,,,,,,,,,,,,,,Yes,Hex,,,,,,,,,,,,,,,,,,Stud,No,0.01
448,,,,,69.85,35.71,boss,C-1065,CP-019,B-012,,,,,,,,,,,,,,,No,,27.4,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,1.494
449,,18.0,Flat Bottom,,,,boss,C-1089,CP-018,B-009,,,,,,,,,,,,,,,No,,12.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.037
450,,50.8,Saddle,,,,boss,C-1117,CP-018,B-005,,,,,,,,,,,,,,,No,,38.1,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.523
451,,,Saddle,,,,boss,C-1123,CP-018,B-009,,,,,,,,,,,,,,,No,,15.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.149
452,,,Saddle,,,,boss,C-1124,CP-018,B-009,,,,,,,,,,,,,,,No,,15.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.08
453,,,Saddle,,,,boss,C-1127,CP-018,B-009,,,,,,,,,,,,,,,No,,15.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.075
454,,44.45,Saddle,,,,boss,C-1171,CP-018,B-005,,,,,,,,,,,,,,,No,,20.05,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.149
455,,,Saddle,,,,boss,C-1225,CP-018,B-004,,,,,,,,,,,,,,,No,,12.7,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,
456,,,Saddle,,,,boss,C-1231,CP-018,B-004,,,,,,,,,,,,,,,No,,12.7,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.015
457,,,Saddle,,,,boss,C-1233,CP-018,B-004,,,,,,,,,,,,,,,No,,12.7,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.058
458,,40.0,Shoulder,,,,boss,C-1256,CP-018,B-005,,,,,,,,,,,,,,,No,,13.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,29.0,,,,,,,,,,,,Boss,Yes,0.14
459,,25.0,Shoulder,,,,boss,C-1257,CP-018,B-005,,,,,,,,,,,,,,,No,,10.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,18.0,,,,,,,,,,,,Boss,No,0.06
460,,,Saddle,,,,boss,C-1259,CP-018,B-004,,,,,,,,,,,,,,,No,,15.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.215
461,,,,,86.0,,boss,C-1308,CP-020,9999,,,,,,,,,,,,,,,No,,12.5,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,0.454
462,,44.45,Shoulder,,,,boss,C-1340,CP-018,B-005,,,,,,,,,,,,,,,No,,18.3,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,40.13,,,,,,,,,,,,Boss,Yes,0.146
463,,31.75,Flat Bottom,,,,boss,C-1410,CP-018,B-004,,,,,,,,,,,,,,,No,,22.23,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.005
464,,25.0,Flat Bottom,,,,boss,C-1411,CP-018,B-004,,,,,,,,,,,,,,,No,,18.3,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.057
465,,,Saddle,,,,boss,C-1417,CP-018,B-004,,,,,,,,,,,,,,,No,,12.7,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.034
466,,31.75,Shoulder,,,,boss,C-1426,CP-018,B-005,,,,,,,,,,,,,,,No,,17.53,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,24.61,,,,,,,,,,,,Boss,Yes,0.071
467,,,Saddle,,,,boss,C-1431,CP-018,B-005,,,,,,,,,,,,,,,No,,15.75,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.1
468,,25.0,Flat Bottom,,,,boss,C-1489,CP-018,B-004,,,,,,,,,,,,,,,No,,15.7,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.04
469,,,,,69.85,35.71,boss,C-1496,CP-019,B-012,,,,,,,,,,,,,,,No,,30.0,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,1.023
470,,,Saddle,,,,boss,C-1503,CP-018,B-005,,,,,,,,,,,,,,,No,,26.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.455
471,,25.4,Shoulder,,,,boss,C-1505,CP-018,B-004,,,,,,,,,,,,,,,No,,4.76,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,22.22,,,,,,,,,,,,Boss,No,0.045
472,,22.22,Shoulder,,,,boss,C-1506,CP-018,B-004,,,,,,,,,,,,,,,No,,9.53,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,18.26,,,,,,,,,,,,Boss,No,0.021
473,,,Saddle,,,,boss,C-1507,CP-018,B-005,,,,,,,,,,,,,,,No,,19.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.15
474,,,Saddle,,,,boss,C-1535,CP-018,B-005,,,,,,,,,,,,,,,No,,15.75,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.052
475,,,Saddle,,,,boss,C-1536,CP-018,B-005,,,,,,,,,,,,,,,No,,15.75,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.052
476,,31.75,Shoulder,,,,boss,C-1537,CP-018,B-005,,,,,,,,,,,,,,,No,,16.76,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,27.43,,,,,,,,,,,,Boss,Yes,0.084
477,,20.64,Flat Bottom,,,,boss,C-1557,CP-018,B-004,,,,,,,,,,,,,,,No,,38.1,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.091
478,,25.4,Flat Bottom,,,,boss,C-1579,CP-018,B-004,,,,,,,,,,,,,,,No,,31.75,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.114
479,,25.0,Shoulder,,,,boss,C-1697,CP-018,B-005,,,,,,,,,,,,,,,No,,20.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,17.8,,,,,,,,,,,,Boss,Yes,0.066
480,,28.0,Shoulder,,,,boss,C-1698,CP-018,B-005,,,,,,,,,,,,,,,No,,20.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,21.8,,,,,,,,,,,,Boss,Yes,0.073
481,,35.0,Shoulder,,,,boss,C-1699,CP-018,B-005,,,,,,,,,,,,,,,No,,25.5,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,23.8,,,,,,,,,,,,Boss,Yes,0.083
482,,45.0,Shoulder,,,,boss,C-1707,CP-018,B-005,,,,,,,,,,,,,,,No,,23.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,34.9,,,,,,,,,,,,Boss,Yes,0.182
483,,30.0,Shoulder,,,,boss,C-1708,CP-018,B-005,,,,,,,,,,,,,,,No,,11.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,27.7,,,,,,,,,,,,Boss,No,0.052
484,,,Saddle,,,,boss,C-1725,CP-018,B-005,,,,,,,,,,,,,,,No,,23.11,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.24
485,,,Saddle,,,,boss,C-1729,CP-018,B-005,,,,,,,,,,,,,,,No,,50.4,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.223
486,,25.4,Shoulder,,,,boss,C-1731,CP-018,B-004,,,,,,,,,,,,,,,No,,8.89,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,12.29,,,,,,,,,,,,Boss,No,
487,,14.0,Flat Bottom,,,,boss,C-1764,CP-018,B-004,,,,,,,,,,,,,,,No,,10.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.009
488,,25.0,Shoulder,,,,boss,C-1780,CP-018,B-005,,,,,,,,,,,,,,,No,,20.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,15.0,,,,,,,,,,,,Boss,Yes,0.06
489,,60.0,Shoulder,,,,boss,C-1833,CP-018,B-005,,,,,,,,,,,,,,,No,,12.3,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,52.37,,,,,,,,,,,,Boss,Yes,0.223
490,,25.4,Saddle,,,,boss,C-1839,CP-018,B-005,,,,,,,,,,,,,,,No,,15.75,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.055
491,,25.0,Flat Bottom,,,,boss,C-1862,CP-018,B-004,,,,,,,,,,,,,,,No,,19.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.091
492,,,,,58.72,30.18,boss,C-1919,CP-019,B-012,,,,,,,,,,,,,,,No,,35.0,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,1.96
493,,,Saddle,,,,boss,C-1924,CP-018,B-004,,,,,,,,,,,,,,,No,,15.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.09
494,,,Saddle,,,,boss,C-1925,CP-018,B-005,,,,,,,,,,,,,,,No,,20.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.197
495,,,Saddle,,,,boss,C-1928,CP-018,B-005,,,,,,,,,,,,,,,No,,15.8,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,Yes,0.079
496,,,Saddle,,,,boss,C-1970,CP-018,B-004,,,,,,,,,,,,,,,No,,16.0,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.032
497,,31.75,Saddle,,,,boss,C-1973,CP-018,B-004,,,,,,,,,,,,,,,No,,19.05,,,,,,,,,,,,,,,,,,Yes,Round,,,,,,,,,,,,,,,,,,Boss,No,0.05
